,NL111,NL112,NL113,NL124_1,NL126,NL131_2,NL211_1,NL213,NL221_2,NL225,NL230,NL310,NL321_2,NL323_3,NL332_3,NL333,NL33A,NL341_1,NL411_1,NL413,NL414,NL421_2
2019-10-31 23:00:00,259.0952205156949,293.9799687902057,545.9527236667465,671.9154511140663,354.14661690871634,948.9503588620328,845.8178814725519,576.3532846118782,1689.1703061595676,439.1837038922498,453.24419816884136,1047.8092997759957,2207.2209030656027,1390.9254859307775,2697.99810952898,501.23446503068675,515.3378796739204,744.3195882933696,1165.3336883866093,648.8752948123881,765.4468991870712,1431.1908501267385
2019-11-01 00:00:00,249.88196639612357,283.5262361696777,526.5390070786817,648.0225835202185,341.55339820451866,915.2063137744673,815.7411588476664,555.8585442488185,1629.104530917143,423.56662280105786,437.12713523097864,1010.5498963471255,2128.7335923483397,1341.4650985961057,2602.0590870038313,483.4109000470349,497.01280662383965,717.8520776250047,1123.8951956817514,625.8017198883915,738.228115362299,1380.298653159237
2019-11-01 01:00:00,246.44352705963286,279.6248431342654,519.2936965817007,639.1056281502658,336.85353667855014,902.6128424020745,804.5163532747428,548.2097894721743,1606.6876387214056,417.7382384703738,431.1121548044079,996.6444730578821,2099.441677343811,1323.006198059721,2566.254092951384,476.75904325887774,490.1737841458191,707.9742506770026,1108.4301122799384,617.1905292469,728.0699089587955,1361.305393046964
2019-11-01 02:00:00,245.29738061413593,278.32437878912793,516.878593082707,636.1333096936148,335.28691616989397,898.4150186112769,800.7747514171015,545.6602045466261,1599.2153413228264,415.7954436934791,429.1071613288843,992.0093319614676,2089.677705675635,1316.8532312142595,2554.3190949339014,474.5417576628253,487.8941099864789,704.6816416943351,1103.275084479334,614.3201323664028,724.6838401576276,1354.9743063428728
2019-11-01 03:00:00,247.21497178256342,280.5001556742617,520.9192470137157,641.1062271114731,337.9079927901456,905.4383007228035,807.0347391404628,549.9258562489854,1611.7170696627566,419.04588880097594,432.4616696437025,999.764279565084,2106.0135813512375,1327.1476180518584,2574.28726469392,478.2514470254514,491.7081802146057,710.1904297999516,1111.899842530345,619.1225271472346,730.3489937288123,1365.5667014054866
2019-11-01 04:00:00,256.8910927358931,291.4790758187875,541.3082938609894,666.1994540820452,351.1338851613006,940.8776208028065,838.6224932847801,571.4502366781318,1674.800503469992,435.4475600905292,449.3884414851421,1038.8955668982753,2188.444034472956,1379.0928573818128,2675.04619026459,496.9704542690475,510.9538909059585,737.9876479420861,1155.420173385447,643.3553008114319,758.9352284155946,1419.0156833881017
2019-11-01 05:00:00,287.9692944310977,326.74166671578365,606.7947541221644,746.795012233541,393.61340279986206,1054.703227437895,940.0774667323597,640.5832125439546,1877.4147213930025,488.1271876947888,503.75461072530084,1164.5792004741284,2453.197881629272,1545.9329199222122,2998.668251892481,557.09300600816,572.7681325342211,827.2680068951827,1295.2007349018331,721.1872162249126,850.7497862934141,1590.6855344028784
2019-11-01 06:00:00,328.4150391904597,372.6330527413071,692.0200410578071,851.6835577711262,448.89703036494035,1202.8379708246948,1072.1128399779686,730.5541421281994,2141.100600746708,556.6854264563608,574.5077458711813,1328.146198780292,2797.753420304337,1763.0616537957112,3419.8359703940278,635.3376034842393,653.2143264263219,943.4591123412341,1477.1137351731584,822.479106142457,970.2389449500093,1814.099844056861
2019-11-01 07:00:00,349.31017054298013,396.3415181103512,736.0492356163842,905.8712096346848,477.4577273304411,1279.367527626158,1140.3251199980432,777.0350365401141,2277.326330243881,592.1040696966714,611.0603192326496,1412.648386461078,2975.7581345626254,1875.2349724398941,3637.4201650204386,675.7604255045786,694.7745399466005,1003.485906871401,1571.093857384175,874.8086492715204,1031.9695838636069,1929.520424739136
2019-11-01 08:00:00,360.396933275383,408.92100975658474,759.4107175393426,934.6226747057507,492.61176801994225,1319.973400064066,1176.5179225825348,801.6973676468583,2349.6064377724447,610.8968730193259,630.4547753516567,1457.4844628360106,3070.2057835836385,1934.7530940411862,3752.868318920319,697.2083996356239,716.826003449449,1035.335566838357,1620.958837840021,902.5742190963298,1064.7232878441346,1990.761513434479
