,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2019-04-02 13:00:00,1345.0119571267119,1255.7149222097617,1161.3440972002722,1740.4810204415655,2604.7214622378083,554.6891565169673,1282.3296117888106,4403.482258792166,4545.964317703477,910.912938935637,3157.033562229347,1751.5194870202683
2019-04-02 14:00:00,1340.1502428370839,1251.1759832444548,1157.1462734094746,1734.1898336583765,2595.3063700623347,552.6841630414438,1277.6944706923962,4387.565320278529,4529.532359930602,907.6203299529697,3145.622068747078,1745.1884003161774
2019-04-02 15:00:00,1396.4339351900853,1303.7229304966634,1205.744156526016,1807.0224191099142,2704.3041679399353,575.8958182773129,1331.355142616271,4571.834493071026,4719.763871070425,945.738610867696,3277.7320509841184,1818.48290408277
2019-04-02 16:00:00,1417.7506824599932,1323.6244321137794,1224.1499993010518,1834.6068534669753,2745.58572594009,584.6869435161472,1351.6784535774732,4641.624146553901,4791.811685920724,960.1754348686225,3327.7670608679155,1846.2422842468618
2019-04-02 17:00:00,1407.7467703640275,1314.2846923197817,1215.5121695776795,1821.6615268169508,2726.2123631944028,580.5612838645889,1342.1407593983122,4608.871984612376,4757.999772811153,953.4002586927489,3304.285718510168,1833.2148558365202
2019-04-02 18:00:00,1395.6859791455272,1303.0246321943087,1205.098337481278,1806.0545442201928,2702.8556922206317,575.587357742617,1330.6420439860535,4569.385733299698,4717.235877566905,945.2320556395933,3275.976436602231,1817.508890743679
2019-04-02 19:00:00,1341.1786823983516,1252.136143410193,1158.03427459599,1735.520661631744,2597.298024176378,553.1082962766508,1278.6749813089457,4390.9323649641065,4533.008350997942,908.3168433916111,3148.0360385221743,1746.5276686574277
2019-04-02 20:00:00,1240.0176273718603,1157.6912980166878,1070.6872487951628,1604.6155827969199,2401.3916831405572,511.38900895902526,1182.2283915720143,4059.7376058918744,4191.097229646964,839.8052487907239,2910.5891933718776,1614.7923645453789
2019-04-02 21:00:00,1156.6205284036253,1079.8310373041124,998.6784253068656,1496.69753259298,2239.886640438199,476.9956593404284,1102.7178943027511,3786.7008913887034,3909.2259540045684,783.3243408572756,2714.8381897914123,1506.18987723674
2019-04-02 22:00:00,1079.2070777918555,1007.5571630103766,931.836154176473,1396.5224815068116,2089.9694034902695,445.0699939993989,1028.9121860752286,3533.2542550561634,3647.578626390326,730.8958747486485,2533.132101266047,1405.3794966408282
2019-04-02 23:00:00,1030.309451378866,961.905911493923,889.6157341267206,1333.2476605912732,1995.2753033407932,424.90438654365215,982.2933631247529,3373.1665850055383,3482.3110510977563,697.7798267114363,2418.358811050147,1341.703374597759
2019-04-03 00:00:00,1008.5252315811094,941.5679734378353,870.8062544487235,1305.0583044281364,1953.088448016074,415.920473470633,961.524365519665,3301.8464566655844,3408.683240307758,683.0264056929457,2367.2265421776706,1313.3352360967353
2019-04-03 01:00:00,1003.476528280342,936.8544598969396,866.4469758967415,1298.5251489225168,1943.3112369107744,413.8383648614354,956.7109497656962,3285.3173282091143,3391.619284159003,679.6071579032526,2355.3761450999295,1306.7606460578716
2019-04-03 02:00:00,1016.0982865322609,948.6382437491791,877.3451722766968,1314.858037686566,1967.7542646740235,419.04363638442936,968.7444891506183,3326.6401493502894,3434.2791745308905,688.1552773774853,2385.0021377942826,1323.197121155031
2019-04-03 03:00:00,1063.7804843728438,993.1547605243064,918.5161363787502,1376.5600619063075,2060.094591779632,438.70799547129536,1014.2045268269909,3482.7485847725065,3595.438760380243,720.4481731690311,2496.9225546396165,1385.2904715220782
2019-04-03 04:00:00,1187.0062427138002,1108.1994058372816,1024.9148239993503,1536.0174499879129,2298.7309665349094,489.52686856245066,1131.6875261553412,3886.1817570989388,4011.9256900850364,803.9031469989466,2786.1600240555945,1545.7591691373086
2019-04-03 05:00:00,1336.3169681087231,1247.5972044448854,1153.8364508051918,1729.2294748485538,2587.882932000903,551.1033028011269,1274.0398402125309,4375.015426450467,4516.576393225066,905.0242344089434,3136.6245450399038,1740.1965819533361
2019-04-03 06:00:00,1419.8075615825278,1325.5447524452552,1225.9260016740814,1837.268509413709,2749.5690341681743,585.5352099865609,1353.6394748105713,4648.358235925054,4798.7636680554015,961.5684617459046,3332.5950004181054,1848.9208209293615
2019-04-03 07:00:00,1426.258682466842,1331.5675753030664,1231.4961909349474,1845.6164303375563,2762.0621372471683,588.1956820983133,1359.7899504961981,4669.478788952766,4820.567612023255,965.9375005882902,3347.737174461886,1857.3216859790207
2019-04-03 08:00:00,1393.348616506283,1300.8424499994494,1203.0801529664714,1803.0299351898132,2698.3292055978072,574.6234185716921,1328.4136107666234,4561.733359014295,4709.335897868408,943.6490705517724,3270.4901416588323,1814.4650990590198
2019-04-03 09:00:00,1364.5523087907939,1273.9579653587843,1178.2161197440548,1765.766751935538,2642.5628904046166,562.7476879858986,1300.9593135032455,4467.456107818133,4612.008147982917,924.1466942698194,3202.89898795616,1776.965585504019
2019-04-03 10:00:00,1362.588924173829,1272.1249323151028,1176.5208447516175,1763.2260803500196,2638.7606416414446,561.9379790823218,1299.0874295989245,4461.028113418395,4605.3721650361795,922.8169867960501,3198.290500203706,1774.4088004889056
2019-04-03 11:00:00,1372.4993417642245,1281.377384821306,1185.0779470943974,1776.0504226388286,2657.9529449222186,566.025081167043,1308.535986449308,4493.474180388504,4638.86807895781,929.5288435684106,3221.5523907637166,1787.3144772318606
2019-04-03 12:00:00,1361.653979118131,1271.252059437159,1175.7135709456948,1762.0162367378675,2636.950046992315,561.5524034139519,1298.1960563111525,4457.967163704234,4602.21217315678,922.1837927609216,3196.0959822263458,1773.1912838150415
2019-04-03 13:00:00,1349.1257153717816,1259.5555628727138,1164.8961019463316,1745.8043323350335,2612.6880786939782,556.3856894577949,1286.2516542550075,4416.950437534475,4559.868281972833,913.6989926902017,3166.6894413297287,1756.8765603852685
2019-04-03 14:00:00,1364.1783307685146,1273.6088162076069,1177.8932102216856,1765.2828144906773,2641.8386525449646,562.5934577185506,1300.6027641881367,4466.231727932468,4610.744151231157,923.8934166557681,3202.0211807652163,1776.4785788344734
